Device:,rrqm/s,wrqm/s,r/s,w/s,rMB/s,wMB/s,avgrq-sz,avgqu-sz,await,r_await,w_await,svctm,%util
sda,32.04,54.76,25.02,24.15,2.92,2.6,230.2,13.95,283.69,201.87,368.48,7.53,37.03
dm-0,0,0,40.06,54.84,0.16,0.21,8,11.53,120.38,59.56,164.82,2.27,21.5
dm-1,0,0,17.48,24.17,2.77,2.39,253.53,12.75,305.94,270.4,331.64,6.42,26.75
sda,0,0,0.8,0,0.01,0,24,0.01,13.75,13.75,0,13,1.04
dm-0,0,0,0.2,0,0,0,8,0,11,11,0,11,0.22
dm-1,0,0,0.4,0,0.01,0,36,0.01,22,22,0,20.5,0.82
sda,0,0,0,0,0,0,0,$0.00,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,1.8,0,1,0.2,0.01,0,22.67,0.01,9.67,11.4,1,9.33,1.12
dm-0,0,0,2.8,0,0.01,0,8,0.06,20.14,20.14,0,3.93,1.1
dm-1,0,0,0,0.2,0,0,24,0,1,0,1,1,0.02
sda,0,0,0,1.6,0,0.01,12,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,1.6,0,0.01,12,0,0,0,0,0,0
sda,1,0,0.4,0,0.01,0,28,0.01,33,33,0,16.5,0.66
dm-0,0,0,1.4,0,0.01,0,8,0.05,33,33,0,4.71,0.66
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0.8,0,2.8,0,0.02,11,0,0.21,0,0.21,0.07,0.02
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,3.4,0,0.02,9.06,0,0.24,0,0.24,0.06,0.02
sda,0,0,0,0.2,0,0,8,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.2,0,0,8,0,0,0,0,0,0
sda,0,0,0.2,0,0,0,8,0.01,75,75,0,75,1.5
dm-0,0,0,0.2,0,0,0,8,0.01,75,75,0,75,1.5
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0,0.8,0,0,12,0,0.25,0,0.25,0.25,0.02
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.8,0,0,12,0,0.25,0,0.25,0.25,0.02
sda,1,0.2,0.6,1,0.01,0.01,16,0.03,15.62,41.67,0,9.88,1.58
dm-0,0,0,1.6,0,0.01,0,8,0.08,48.88,48.88,0,9.88,1.58
dm-1,0,0,0,1.2,0,0.01,10.67,0,0,0,0,0,0
sda,0,0,0,1.4,0,0.01,9,0.01,8,0,8,2.71,0.38
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
